post,horse,odds,trainer,jockey,speed_score,form_score,pace_score,stamina_score,post_score,trainer_jockey_score
1,Renegade,+500,Todd Pletcher,Irad Ortiz Jr.,88,86,80,84,45,92
2,Albus,+3000,Riley Mott,Manny Franco,68,65,62,66,55,68
3,Intrepido,+5000,Jeff Mullins,Hector Berrios,62,60,64,61,65,63
4,Litmus Test,+3000,Bob Baffert,Martin Garcia,70,68,67,70,62,82
6,Commandment,+600,Brad Cox,Luis Saez,90,88,84,86,70,90
7,Danon Bourbon,+2000,Manabu Ikezoe,Atsuya Nishimura,82,80,86,83,82,74
8,So Happy,+1500,Unknown,Unknown,78,76,75,79,78,65
9,The Puma,+1000,Unknown,Unknown,85,83,88,82,76,70
10,Wonder Dean,+3000,Unknown,Unknown,74,72,76,73,85,65
11,Incredibolt,+2000,Unknown,Unknown,80,78,79,78,72,68
12,Chief Wallabee,+800,Unknown,Unknown,87,84,82,85,70,72
14,Potente,+2000,Unknown,Unknown,79,77,78,80,68,66
15,Emerging Market,+1500,Unknown,Unknown,81,79,77,81,64,66
16,Pavlovian,+3000,Unknown,Unknown,70,69,71,72,60,64
17,Six Speed,+5000,Unknown,Unknown,65,64,70,66,42,62
18,Further Ado,+600,Unknown,Unknown,89,87,83,86,40,72
19,Golden Tempo,+3000,Unknown,Unknown,73,71,74,72,55,64
21,Great White,+5000,Unknown,Unknown,64,63,66,65,52,62
22,Ocelli,+5000,Whitworth Beckman,Tyler Gaffalione,66,64,68,67,50,70
23,Robusta,+5000,Doug O'Neill,Cristian Torres,65,63,67,66,48,68
